,base,quote,symbol_a,symbol_b
42,PNUT,USDT,PNUT/USDT:USDT,PNUT/USDT:USDT
43,STX,USDT,STX/USDT:USDT,STX/USDT:USDT
44,TIA,USDT,TIA/USDT:USDT,TIA/USDT:USDT
45,SSV,USDT,SSV/USDT:USDT,SSV/USDT:USDT
46,ICX,USDT,ICX/USDT:USDT,ICX/USDT:USDT
47,CELO,USDT,CELO/USDT:USDT,CELO/USDT:USDT
48,RENDER,USDT,RENDER/USDT:USDT,RENDER/USDT:USDT
49,TRUMP,USDT,TRUMP/USDT:USDT,TRUMP/USDT:USDT
50,ZEREBRO,USDT,ZEREBRO/USDT:USDT,ZEREBRO/USDT:USDT
51,ICP,USDT,ICP/USDT:USDT,ICP/USDT:USDT
52,BAND,USDT,BAND/USDT:USDT,BAND/USDT:USDT
53,POL,USDT,POL/USDT:USDT,POL/USDT:USDT
54,AXS,USDT,AXS/USDT:USDT,AXS/USDT:USDT
55,AI16Z,USDT,AI16Z/USDT:USDT,AI16Z/USDT:USDT
56,ZRO,USDT,ZRO/USDT:USDT,ZRO/USDT:USDT
57,ONE,USDT,ONE/USDT:USDT,ONE/USDT:USDT
58,VANA,USDT,VANA/USDT:USDT,VANA/USDT:USDT
59,ACH,USDT,ACH/USDT:USDT,ACH/USDT:USDT
60,PENGU,USDT,PENGU/USDT:USDT,PENGU/USDT:USDT
61,W,USDT,W/USDT:USDT,W/USDT:USDT
62,WAXP,USDT,WAXP/USDT:USDT,WAXP/USDT:USDT
63,SLERF,USDT,SLERF/USDT:USDT,SLERF/USDT:USDT
64,EIGEN,USDT,EIGEN/USDT:USDT,EIGEN/USDT:USDT
65,LAYER,USDT,LAYER/USDT:USDT,LAYER/USDT:USDT
66,MORPHO,USDT,MORPHO/USDT:USDT,MORPHO/USDT:USDT
67,IOST,USDT,IOST/USDT:USDT,IOST/USDT:USDT
68,CRV,USDT,CRV/USDT:USDT,CRV/USDT:USDT
69,BRETT,USDT,BRETT/USDT:USDT,BRETT/USDT:USDT
70,XRP,USDT,XRP/USDT:USDT,XRP/USDT:USDT
